06/Mar/2021:22:00:53 377 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:4 - Output:2
07/Mar/2021:17:33:24 344 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:4 - Output:1.3862943611198906
07/Mar/2021:17:33:24 345 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:4 - Output:24
07/Mar/2021:17:33:24 346 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^2 - Output:16.0
07/Mar/2021:17:34:03 514 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^4 - Output:256.0
07/Mar/2021:17:34:03 520 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:5 - Output:1.6094379124341003
07/Mar/2021:17:34:03 522 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:5 - Output:2.23606797749979
07/Mar/2021:17:34:03 523 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:4 - Output:2.0
07/Mar/2021:17:34:03 524 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:5 - Output:120
07/Mar/2021:17:34:03 525 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:4 - Output:1.3862943611198906
07/Mar/2021:17:34:03 526 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:4 - Output:24
07/Mar/2021:17:34:03 527 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^2 - Output:16.0
07/Mar/2021:17:46:29 141 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^4 - Output:256.0
07/Mar/2021:17:46:29 152 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:5 - Output:1.6094379124341003
07/Mar/2021:17:46:29 153 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:5 - Output:2.23606797749979
07/Mar/2021:17:46:29 155 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:4 - Output:2.0
07/Mar/2021:17:46:29 156 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:5 - Output:120
07/Mar/2021:17:46:29 157 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:4 - Output:1.3862943611198906
07/Mar/2021:17:46:29 159 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:4 - Output:24
07/Mar/2021:17:46:29 160 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^2 - Output:16.0
07/Mar/2021:17:47:09 164 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:5 - Output:2.23606797749979
07/Mar/2021:17:47:55 782 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^4 - Output:256.0
07/Mar/2021:17:47:55 791 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:5 - Output:1.6094379124341003
07/Mar/2021:17:47:55 793 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:5 - Output:2.23606797749979
07/Mar/2021:17:47:55 794 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:4 - Output:2.0
07/Mar/2021:17:47:55 795 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:5 - Output:120
07/Mar/2021:17:47:55 797 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:4 - Output:1.3862943611198906
07/Mar/2021:17:47:55 798 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:4 - Output:24
07/Mar/2021:17:47:55 799 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^2 - Output:16.0
07/Mar/2021:17:48:08 947 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:2^4 - Output:16.0
07/Mar/2021:17:50:39 980 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^4 - Output:256.0
07/Mar/2021:17:50:39 987 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:5 - Output:1.6094379124341003
07/Mar/2021:17:50:39 989 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:5 - Output:2.23606797749979
07/Mar/2021:17:50:39 991 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:4 - Output:2.0
07/Mar/2021:17:50:39 994 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:5 - Output:120
07/Mar/2021:17:50:39 996 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:4 - Output:1.3862943611198906
07/Mar/2021:17:50:39 997 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:4 - Output:24
07/Mar/2021:17:50:39 998 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^2 - Output:16.0
07/Mar/2021:17:50:50 338 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:2 - Output:1.4142135623730951
